Смартфон Alcatel One Touch IDOL 2 MINI 6016D Dual Sim Black в Москве,7 990,Да,Android 4.3,nul,1.2 ГГц,Да,IPS,"4.5""",540 x 960 пикселей,Да,Да,8 Мпикс,Да,Да,1280 х 720 пикселей,Да,Да,Да,Да,1 ГБ,8 ГБ,nul,nul,nul,Да,Да,Да,3.5 мм,Да,Да,Да,сенсорный (без клавиатуры),6.4 см,12.9 см,7.9 мм,110 г,microSIM,1700 mAh,450 ч,12 ч,Android,4,емкостный,Да,Цветной,"4.5""",8 Мпикс,0.3 Мпикс,Да,nul,светодиодная,Да,Да,"900, 1800, 1900","HSUPA, HSPA+, HSDPA, GPRS, EDGE",Да,попеременный,Да,nul,Да,Да,Да,Wap,Да,Да,Да,"POP, SMTP",Да,Да,Да,8 ГБ,nul,4.0,USB micro,nul,Да,Да,Да,110 г,nul,5 ГБ,Да,Да,nul,Да,Да,nul,nul,"H.263, H.264, MPEG4",Да,nul,30 кадров/сек,nul,nul,12 ч,nul,nul,Да,Да,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul
Смартфон Sony Xperia E4 Dual E2115 Black в Москве,8 990,Да,Android 4.4,MediaTek MT6582,1.3 ГГц,Да,IPS,"5""",540 x 960 пикселей,Да,Да,5 Мпикс,Да,Да,1920 x 1080 пикселей,Да,Да,Да,Да,1 ГБ,4 ГБ,Да,microSD (TransFlash),32 ГБ,Да,Да,Да,3.5 мм,Да,Да,Да,сенсорный (без клавиатуры),7.5 см,13.7 см,1.1 см,144 г,microSIM,2300 mAh,696 ч,12.7 ч,Android,4,емкостный,Да,Цветной,"5""",5 Мпикс,2 Мпикс,Да,nul,светодиодная,Да,Да,"900, 1800, 1900","UMTS, HSUPA, HSDPA, GPRS, EDGE",Да,попеременный,Да,"900, 2100",Да,Да,Да,Wap,Да,Да,Да,"POP, SMTP",Да,Да,Да,4 ГБ,32 ГБ,23427,USB micro,nul,Да,Да,Да,144 г,Li-Ion,nul,nul,Да,nul,Да,Да,nul,nul,nul,Да,Да,30 кадров/сек,nul,nul,48 ч,nul,nul,nul,nul,Да,4,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul
Смартфон Sony Xperia E4 Dual E2115 White в Москве,8 990,Да,Android 4.4,MediaTek MT6582,1.3 ГГц,Да,IPS,"5""",540 x 960 пикселей,Да,Да,5 Мпикс,Да,Да,1920 x 1080 пикселей,Да,Да,Да,Да,1 ГБ,4 ГБ,Да,microSD (TransFlash),32 ГБ,Да,Да,Да,3.5 мм,Да,Да,Да,сенсорный (без клавиатуры),7.5 см,13.7 см,1.1 см,144 г,microSIM,2300 mAh,696 ч,12.7 ч,Android,4,емкостный,Да,Цветной,"5""",5 Мпикс,2 Мпикс,Да,nul,светодиодная,Да,Да,"900, 1800, 1900","UMTS, HSUPA, HSDPA, GPRS, EDGE",Да,попеременный,Да,"900, 2100",Да,Да,Да,Wap,Да,Да,Да,"POP, SMTP",Да,Да,Да,4 ГБ,32 ГБ,23427,USB micro,nul,Да,Да,Да,144 г,Li-Ion,nul,nul,Да,nul,Да,Да,nul,nul,nul,Да,Да,30 кадров/сек,nul,nul,48 ч,nul,nul,nul,nul,Да,4,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul
Смартфон Sony Xperia E4g E2003 LTE White в Москве,10 290,Да,Android 4.4 KitKat,MediaTek MT6732,1.5 ГГц,Да,IPS,"4.7""",540 x 960 пикселей,Да,Да,5 Мпикс,Да,Да,1920 x 1080 пикселей,nul,nul,Да,Да,1 ГБ,8 ГБ,Да,microSD (TransFlash),32 ГБ,Да,Да,Да,3.5 мм,Да,Да,Да,сенсорный (без клавиатуры),7.1 см,13.3 см,1.1 см,135 г,nul,2300 mAh,779 ч,13 ч,Android,4,емкостный,Да,Цветной,"4.7""",5 Мпикс,2 Мпикс,Да,Да,nul,nul,nul,"850, 900, 1800, 1900","UMTS, HSUPA, HSPA, GPRS, EDGE",nul,nul,Да,"900, 2100",Да,Да,Да,Wap,Да,Да,Да,"POP, SMTP",Да,Да,Да,8 ГБ,32 ГБ,4.1,USB micro,nul,Да,Да,Да,135 г,Li-Ion,nul,Да,Да,nul,Да,Да,nul,nul,nul,Да,nul,30 кадров/сек,nul,nul,64 ч,Да,nul,nul,nul,nul,4,Да,Да,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul
Смартфон Sony Xperia E4g E2003 LTE Black в Москве,10 290,Да,Android 4.4 KitKat,MediaTek MT6732,1.5 ГГц,Да,IPS,"4.7""",540 x 960 пикселей,Да,Да,5 Мпикс,Да,Да,1920 x 1080 пикселей,nul,nul,Да,Да,1 ГБ,8 ГБ,Да,microSD (TransFlash),32 ГБ,Да,Да,Да,3.5 мм,Да,Да,Да,сенсорный (без клавиатуры),7.1 см,13.3 см,1.1 см,135 г,nul,2300 mAh,779 ч,13 ч,Android,4,емкостный,Да,Цветной,"4.7""",5 Мпикс,2 Мпикс,Да,Да,nul,nul,nul,"850, 900, 1800, 1900","UMTS, HSUPA, HSPA, GPRS, EDGE",nul,nul,Да,"900, 2100",Да,Да,Да,Wap,Да,Да,Да,"POP, SMTP",Да,Да,Да,8 ГБ,32 ГБ,4.1,USB micro,nul,Да,Да,Да,135 г,Li-Ion,nul,Да,Да,nul,Да,Да,nul,nul,nul,Да,nul,30 кадров/сек,nul,nul,64 ч,Да,nul,nul,nul,nul,4,Да,Да,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul
Смартфон Samsung GALAXY Grand Prime Duos SM-G530H Gold в Москве,10 390,Да,Android 4.4,Qualcomm MSM8916,1.2 ГГц,Да,TFT,"5""",540 x 960 пикселей,Да,Да,8 Мпикс,Да,Да,1920 x 1080 пикселей,Да,Да,Да,Да,1 ГБ,8 ГБ,Да,microSD (TransFlash),64 ГБ,Да,Да,Да,3.5 мм,Да,Да,Да,сенсорный (без клавиатуры),7.2 см,14.5 см,8.6 мм,156 г,microSIM,2600 mAh,nul,17 ч,Android,4,емкостный,Да,Цветной,"5""",8 Мпикс,5 Мпикс,Да,nul,светодиодная,Да,Да,"850, 900, 1800, 1900","WCDMA, UMTS, HSUPA, GPRS, EDGE",Да,nul,Да,"900, 2100",Да,Да,Да,"Http, Wap",Да,Да,Да,"IMAP, POP, SMTP",Да,Да,Да,8 ГБ,64 ГБ,4.0,USB micro,Да,Да,Да,Да,156 г,Li-Ion,nul,Да,Да,Да,Да,Да,Да,nul,"3G2, 3GP, ASF, AVI, FLV, MKV, MP4, WMV",Да,Да,30 кадров/сек,Да,nul,75 ч,nul,nul,nul,Да,nul,nul,nul,nul,Да,"m4a, WMV, MID, FLAC, MIDI, AMR, OGG, WMA, WAV, MP3, AAC","Будильник, Заметки, Календарь, Калькулятор",Да,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul
Смартфон Huawei Honor 3C Lite White в Москве,10 490,Да,Android 4.4,MediaTek MT6582,1.3 ГГц,Да,IPS,"5""",1280 x 720 пикселей,Да,Да,8 Мпикс,Да,Да,1920 x 1080 пикселей,Да,Да,Да,Да,1 ГБ,16 ГБ,Да,microSD (TransFlash),32 ГБ,Да,Да,Да,3.5 мм,Да,Да,Да,сенсорный (без клавиатуры),7.2 см,14.2 см,9.4 мм,156 г,microSIM,2000 mAh,nul,nul,Android,4,емкостный,Да,Цветной,"5""",8 Мпикс,2 Мпикс,Да,nul,светодиодная,nul,nul,"900, 1800, 1900","HSUPA, HSPA+, HSDPA, GPRS, EDGE",Да,попеременный,Да,nul,Да,Да,Да,"Http, Wap",Да,Да,Да,"IMAP, POP, SMTP",nul,Да,Да,16 ГБ,32 ГБ,4.0,USB micro,Да,Да,Да,nul,156 г,Li-Ion,nul,Да,Да,nul,Да,Да,Да,nul,"3G2, 3GP, AVI, FLV, H.263, H.264, MKV, MP4, WMV",nul,nul,30 кадров/сек,nul,nul,nul,nul,nul,nul,Да,nul,nul,Да,nul,nul,nul,"Будильник, Заметки, Календарь, Калькулятор",nul,пластик,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul
Смартфон Huawei Honor 3C Lite Black в Москве,10 490,Да,Android 4.4,MediaTek MT6582,1.3 ГГц,Да,IPS,"5""",1280 x 720 пикселей,Да,Да,8 Мпикс,Да,Да,1920 x 1080 пикселей,Да,Да,Да,Да,1 ГБ,16 ГБ,Да,microSD (TransFlash),32 ГБ,Да,Да,Да,3.5 мм,Да,Да,Да,сенсорный (без клавиатуры),7.2 см,14.2 см,9.4 мм,156 г,microSIM,2000 mAh,nul,nul,Android,4,емкостный,Да,Цветной,"5""",8 Мпикс,2 Мпикс,Да,nul,светодиодная,nul,nul,"900, 1800, 1900","HSUPA, HSPA+, HSDPA, GPRS, EDGE",Да,попеременный,Да,nul,Да,Да,Да,"Http, Wap",Да,Да,Да,"IMAP, POP, SMTP",nul,Да,Да,16 ГБ,32 ГБ,4.0,USB micro,Да,Да,Да,nul,156 г,Li-Ion,nul,Да,Да,nul,Да,Да,Да,nul,"3G2, 3GP, AVI, FLV, H.263, H.264, MKV, MP4, WMV",nul,nul,30 кадров/сек,nul,nul,nul,nul,nul,nul,Да,nul,nul,Да,nul,nul,nul,"Будильник, Заметки, Календарь, Калькулятор",nul,пластик,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul
Смартфон Microsoft Lumia 640 XL 3G Dual SIM Cyan в Москве,11 990,Да,Windows Phone 8.1,Qualcomm Snapdragon 400,1.2 ГГц,Да,WVGA,"5.7""",1280 x 720 пикселей,Да,Да,13 Мпикс,Да,Да,1920 x 1080 пикселей,Да,Да,Да,Да,1 ГБ,8 ГБ,Да,microSD (TransFlash),128 ГБ,Да,Да,Да,3.5 мм,Да,Да,Да,сенсорный (без клавиатуры),8.2 см,15.8 см,9.9 мм,171 г,microSIM,3000 mAh,930 ч,31.3 ч,Windows Phone,4,емкостный,Да,Цветной,"5.7""",13 Мпикс,5 Мпикс,Да,nul,светодиодная,Да,nul,"850, 900, 1800, 1900","WCDMA, GPRS, EDGE",Да,попеременный,Да,"900, 2100",Да,Да,Да,Wap,Да,Да,Да,"IMAP, POP, SMTP",Да,Да,Да,8 ГБ,128 ГБ,4.0,USB micro,nul,Да,Да,nul,171 г,nul,nul,Да,Да,nul,Да,Да,Да,13 ч,nul,nul,nul,30 кадров/сек,Да,11.7 ч,102 ч,nul,Да,nul,nul,nul,4,Да,nul,nul,nul,nul,nul,nul,OneDrive: 15Gb,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul
Смартфон Microsoft Lumia 640 XL 3G Dual SIM White в Москве,11 990,Да,Windows Phone 8.1,Qualcomm Snapdragon 400,1.2 ГГц,Да,WVGA,"5.7""",1280 x 720 пикселей,Да,Да,13 Мпикс,Да,Да,1920 x 1080 пикселей,Да,Да,Да,Да,1 ГБ,8 ГБ,Да,microSD (TransFlash),128 ГБ,Да,Да,Да,3.5 мм,Да,Да,Да,сенсорный (без клавиатуры),8.2 см,15.8 см,9.9 мм,171 г,microSIM,3000 mAh,930 ч,31.3 ч,Windows Phone,4,емкостный,Да,Цветной,"5.7""",13 Мпикс,5 Мпикс,Да,nul,светодиодная,Да,nul,"850, 900, 1800, 1900","WCDMA, GPRS, EDGE",Да,попеременный,Да,"900, 2100",Да,Да,Да,Wap,Да,Да,Да,"IMAP, POP, SMTP",Да,Да,Да,8 ГБ,128 ГБ,4.0,USB micro,nul,Да,Да,nul,171 г,nul,nul,Да,Да,nul,Да,Да,Да,13 ч,nul,nul,nul,30 кадров/сек,Да,11.7 ч,102 ч,nul,Да,nul,nul,nul,4,Да,nul,nul,nul,nul,nul,nul,OneDrive: 15Gb,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul
