72,Использование ассемблера для оптимизации программ на С++ (+ CD-ROM),ID 1708293,БХВ-Петербург,249
73,Администрирование Unix-сервера и Linux-станций,ID 6133990,Питер,237
74,Начальный курс С и С++,ID 3561679,Диалог-МИФИ,267
75,Программируя Вселенную. Квантовый компьютер и будущее науки,ID 21669927,Альпина нон-фикшн,457
76,Visual Basic на практике (+ CD-ROM),ID 3707128,БХВ-Петербург,322
77,"Excel, VBA, Internet в экономике и финансах",ID 117805,БХВ-Петербург,308
78,"Чистый код: создание, анализ и рефакторинг. Библиотека программиста",ID 21916535,Питер,497
79,Пуленепробиваемый веб-дизайн. Библиотека специалиста,ID 10793233,Питер,459
80,"Как стать специалистом по встраиваемым системам. Пособие для тех, кто хочет заниматься интересным и хорошо оплачиваемым делом",ID 4446092,Додэка XXI,416
81,jQuery Mobile. Разработка приложений для смартфонов и планшетов,ID 20468239,БХВ-Петербург,289
82,Администрирование сети на примерах,ID 3819362,БХВ-Петербург,308
83,Разработка и отладка шейдеров (+ CD-ROM),ID 2619774,БХВ-Петербург,290
84,Программирование ASP.NET средствами VB.NET. Полное руководство,ID 4039672,Век +,449
85,Микрокомпьютеры Raspberry Pi. Практическое руководство,ID 29421707,БХВ-Петербург,319
86,Физика для разработчиков компьютерных игр (+ CD-ROM),ID 7577936,Бином. Лаборатория знаний,413
87,Excel 2007 на практике,ID 4713344,Феникс,89
88,PHP — это просто. Начинаем с видеоуроков (+ CD-ROM),ID 8465472,БХВ-Петербург,173
89,Серверное применение Linux,ID 6209769,БХВ-Петербург,417
90,Visual Basic 2005 и платформа .NET 2.0,ID 3958566,Питер,385
91,"Планшеты на Android без страха для тех, кому за...",ID 30656909,Эксмо,373
92,Веб-мастеринг на 100%,ID 31239282,Питер,613
93,                Призрак в Сети. Мемуары величайшего хакера                ,ID 19050321,Эксмо,509
94,Нейросетевые алгоритмы биометрической идентификации личности. Книга 15,ID 3249795,Радиотехника,454
95,Общаться с ребенком. Как?,ID 849951,АСТ,210
96,                Микроконтроллеры для начинающих                ,ID 32125290,БХВ-Петербург,215
97,Программирование для детей,ID 32092949,"Манн, Иванов и Фербер",829
98,Технология CUDA в примерах. Введение в программирование графических процессоров,ID 31921734,ДМК Пресс,405
99,Финансовый менеджмент в Microsoft Dynamics NAV. Глубокое погружение в мир финансового менеджмента с Microsoft Dynamics NAV,ID 31921736,ЭКОМ Паблишерз,523
100,"Эксплуатация программоуправляемой вычислительной машины ""Искра 226""",ID 32018586,Машиностроение,547
101,Язык управления заданиями,ID 32018591,Мир,451
102,"Компьютерная графика. Динамика, реалистические изображения",ID 32018525,Диалог-МИФИ,831
103,Структурный подход к организации баз данных,ID 32018431,Финансы и статистика,309
104,Язык программирования Turbo Pascal,ID 32018588,Унитех,451
105,Начала компьютерной графики,ID 32018538,Диалог-МИФИ,831
106,Программирование на персональных ЭВМ в среде Турбо-Паскаль,ID 32018550,МГТУ,831
107,                Программист-фанатик                ,ID 32218784,Питер,367
108,Системное программирование для ПРАВЕЦ-16,ID 20883582,Техника,261
109,                IPad для всех!                ,ID 32225914,АСТ,109
110,                Журнал «Мир ПК» №05/2015                ,ID 32220027,МИР ПК,336
111,                ComputerBild №09/2015                ,ID 32220015,Бурда,75
112,                Журнал Computerworld Россия №10/2015                ,ID 32220014,Открытые Системы,120
113,"                Компьютерный самоучитель с нуля. Windows Vista, Microsoft Office 2007, полезные программы                ",ID 32219095,АСТ,69
114,                Веб-мастеринг на 100%                ,ID 32219036,Питер,578
115,                Изучаем программирование на JavaScript                ,ID 32219027,Питер,765
116,                Fast methods for jackknifing inequality indices                ,ID 32219022,Синергия,152
117,                Исследование спроса на труд иностранных мигрантов в российских регионах по поданным заявкам на квоты                ,ID 32219016,Синергия,152
118,                Google Apps для образования                ,ID 32219008,Питер,337
119,Основы программирования для единой системы ЭВМ,ID 32018543,Машиностроение,309
120,Руководство по программированию на языке Модула-2,ID 32018556,Мир,475
121,Большая книга Компьютера,ID 31933654,Эксмо,406
122,Железо IBM,ID 32131320,МикроАрт,540
123,Новейшая энциклопедия. Компьютер и Интернет 2012,ID 32163332,null,270
124,Персональный компьютер и Windows для всех,ID 32131312,Филинъ,388
125,                MSDN Magazine. Журнал для разработчиков. №01/2015                ,ID 32277073,Русская Редакция,200
126,                Журнал Publish №05/2015                ,ID 32277070,ОСП-Паблиш,264
127,                Щегол                ,ID 30376871,Corpus,676
128,                Linux. От новичка к профессионалу (4-е издание)                ,ID 32125289,БХВ-Петербург,295
129,                Windows 8: разработка Metro-приложений для мобильных устройств                ,ID 32125298,БХВ-Петербург,335
130,                1С: Бухгалтерия 8.2 с нуля. 100 уроков для начинающих                ,ID 32125296,БХВ-Петербург,151
131,                USB в электронике                ,ID 32125328,БХВ-Петербург,175
132,                Цифровая обработка сигналов                ,ID 32125327,БХВ-Петербург,311
133,                ComputerBild №08/2015                ,ID 32125325,Бурда,75
134,                Директор информационной службы №03/2015                ,ID 32125323,Открытые Системы,629
135,                Теоретический минимум и алгоритмы цифровой подписи                ,ID 32125334,БХВ-Петербург,231
136,                Microsoft SQL Server 2012                ,ID 32125332,БХВ-Петербург,383
137,                Microsoft Visual Studio 2010                ,ID 32125331,БХВ-Петербург,199
138,                Windows 7 в домашней сети                ,ID 32125336,БХВ-Петербург,127
139,                Delphi XE2                ,ID 32125352,БХВ-Петербург,479
140,                Фотошкола. Композиция снимка и техника цифровой съемки                ,ID 32125351,БХВ-Петербург,583
141,                Ноутбук без страха для начинающих. Самый наглядный самоучитель                ,ID 32125447,Эксмо,219
142,                Печатаем на компьютере вслепую. Простой и понятный самоучитель                ,ID 32125519,Эксмо,59
143,"                Англо-русский словарь сокращений по компьютерным технологиям, информатике, электронике и связи                ",ID 32125576,БХВ-Петербург,303
144,Полный справочник по C++,ID 31924222,Вильямс,956
145,                Госуслуги в Интернете для ваших родителей                ,ID 32126341,БХВ-Петербург,87
146,                CHIP. Журнал информационных технологий. №05/2015                ,ID 32126224,Бурда,90
147,                Журнал Computerworld Россия №08-09/2015                ,ID 32126199,Открытые Системы,120
148,                Новейший самоучитель Android 5 + 256 полезных приложений                ,ID 32125405,Эксмо,149
149,PHP. Рецепты программирования,ID 31507010,Питер,996
150,Цифровая фотография. Практическое руководство для начинающих,ID 32149777,null,333
151,Будущее вещей. Как сказка и фантастика становятся реальностью,ID 32160924,Альпина нон-фикшн,405
152,SCALA для нетерпеливых,ID 31921731,ДМК Пресс,710
153,Twisty Little Passages: An Approach to Interactive Fiction,ID 32104291,The MIT Press,2 513
154,Компьютер. Для моих любимых родителей!,ID 31873340,АСТ,245
155,Elastix - общайтесь свободно!,ID 31921737,ЭКОМ Паблишерз,769
156,Дневник охотника за ошибками. Путешествие через джунгли проблем безопасности программного обеспечения,ID 31921733,ДМК Пресс,405
157,Неотложная помощь. Справочник для родителей. Всегда под рукой,ID 6464237,Клиником,311
158,                Microsoft SQL Server 2012. Основы T-SQL                ,ID 31464683,Эксмо,490
159,                Журнал «Мир ПК» №03/2015                ,ID 31464680,МИР ПК,336
160,                Журнал Computerworld Россия №04/2015                ,ID 31464679,Открытые Системы,120
161,"Основы современного телерадиовещания. Техника, технология и экономика вещательных компаний (+ CD-ROM)",ID 27596130,Горячая Линия - Телеком,492
162,                Самоучитель 3ds Max 2012                ,ID 31454389,БХВ-Петербург,351
163,                Вычислительная линейная алгебра с примерами на MATLAB                ,ID 31454388,БХВ-Петербург,239
164,                Цифровая обработка сигналов. Моделирование в Simulink                ,ID 31454387,БХВ-Петербург,279
165,                JavaFX 2.0. Разработка RIA-приложений                ,ID 31454380,БХВ-Петербург,199
166,                Самоучитель SketchUp                ,ID 31454378,БХВ-Петербург,183
167,                Google App Engine Java и Google Web Toolkit: разработка Web-приложений                ,ID 31454377,БХВ-Петербург,303
168,                Самоучитель Microsoft SharePoint Foundation 2010 и SharePoint Online 365                ,ID 31454375,БХВ-Петербург,111
169,Oracle Database Programming Using Java and Web Services,ID 5358023,Elsevier Digital Press,4 265
170,"Компьютер и ноутбук для тех, кому за... Простой и понятный самоучитель
",ID 31469591,Эксмо,91
171,Язык и мысль. Современная когнитивная лингвистика,ID 31471938,Языки славянской культуры,766
172,Двуликий электронный Янус,ID 31470253,Проспект,286
173,Методы когнитивного анализа семантики слова. Компьютерно-корпусный подход,ID 31471939,Языки славянской культуры,493
174,                Adobe Photoshop CS6 для всех                ,ID 31454371,БХВ-Петербург,319
175,"The Art of Titanfall
",ID 31456840,Titan Books,3 325
176,Безопасный Android. Защищаем свои деньги и данные от кражи,ID 31351035,БХВ-Петербург,173
177,"HTML, скрипты и стили",ID 31350977,БХВ-Петербург,660
178,                Компьютер и ноутбук для любого возраста                ,ID 31609397,АСТ,129
179,Управление торговлей 1С:8.3. Редакция 11.1. Функционал развития,ID 31507649,ДМК Пресс,405
180,Windows 8.1 + Office 2013. Практическое руководство по работе в новейшей системе и офисных программах (+ DVD-ROM),ID 31507502,Наука и техника,481
181,Визуальный самоучитель iPad,ID 31276865,Эксмо,358
182,Android для женщин,ID 31501507,Эксмо,439
183,Самоучитель Windows 8.1 + Office 2013,ID 31507647,Наука и техника,375
184,iPad. Исчерпывающее руководство,ID 31276862,Эксмо,995
185,Компьютер для носорога. Книга 3. Носорог в море данных. Часть 1. Введение в базы данных,ID 31620195,ABF,216
186,"                Компьютер и ноутбук для тех, кому за…                ",ID 31685470,Эксмо,59
187,                CHIP. Журнал информационных технологий. №04/2015                ,ID 31685462,Бурда,90
