177,Вадим Дунаев
178,Иван Жуков
179,Тенгиз Куправа
180,Л. Матвеев
180,В. Вишневский
180,Р. Прокди
181,Мария Скулович
182,Владимир Михайлов
182,Марина Дремова
183,А. Кропп
183,И. Загудаев
183,Р. Прокди
184,Дж. Д. Байерсдорфер
185,Евгений Ройтман
185,Юрий Шафрин
185,Юрий Шаров
186,Марина Виннер
187, ИД «Бурда»
188, Открытые системы
190, ИД «Бурда»
191,А. Панюкова
191,Т. Макаровских
191,В. Дударева
192,С. Кулик
194,М. Казаков
194,Е. Крючкова
195,Василий Леонов
196,Владимир Пташинский
197,Стив Паркер
199,М. Юдин
199,А. Куприянова
199,Р. Прокди
200,Иван Кузьмин
200,Валентин Кедрус
201,Л. Поддубная
201,Евгений Поддубный
201,Светлана Голова
202,Жак Пуайен
202,Жанна Пуайен
203,Валентин Соломенчук
204,Марк Эдуард Соупер
205,Алекс Экслер
206,Алина Федорова
207,Лео Броуди
208,Валентин Соломенчук
209,Чэн Ши-Као
210,Михаил Пономарев
211,Ларри Твен
212,Тим Шин
214,Мария Филимончук
215,Грег Перри
215, Миллер Дин У.
217,Сэм Р. Алапати
218, Открытые системы
219,Масару Ибука
220,Геннадий Кутищев
221, Открытые системы
222,В. Шитов
223,Дмитрий Виницкий
224,Евгения Пастернак
225,Бенджи Рэбхэн
226,Анатолий Малюк
227,Сергей Бубнов
227,Алексей Бубнов
227,Илья Овчинников
228,Н. Жарков
228,М. Финков
228,Р. Прокди
229,Энтони Гонсалвес
230,Николас Дж. Карр
231,Сергей Кашаев
232, ИД «Бурда»
233,М. Айзек
233,М. Финков
233,Р. Прокди
234,И. Воронина
234,А. Редькин
235,Сергей Юнусов
235,Анатолий Рессин
235,Максим Фиошин
236,Андрей Кочетов
237,В. Серогодский
237,А. Рогозин
237,Д. Козлов
237,А. Дружинин
237,Р. Прокди
238,Владимир Редько
239,Иван Жуков
240,Иван Жуков
241,Валентин Холмогоров
242,Василий Халявин
243,Анатолий Енин
243,Николай Енин
244,М. Матвеев
244,М. Юдин
244,Р. Прокди
245,Джеффри Рихтер
245,Мартен ван де Боспурт
246,Трейси Пайлон
246,Дэн Пилон
247,Алексей Лебедев
248,Кристофер Негус
249,Роман Петелин
249,Юрий Петелин
250,Леандро Карвальо
251,Борис Акунин
252,Todd Palamar
253,Павел Гончаров
253,Игорь Артамонов
253,Тимур Халитов
253,Сергей Денисихин
253,Дина Сотник
254,Павел Ведмидь
254,А. Сулинов
255, Открытые системы
256,Митио Каку
257,Михаил Райтман
258,Александр Андрейчиков
258,Ольга Андрейчикова
259,Кирилл Сухов
260,Вячеслав Кильдишов
261,Леса Снайдер
262,Александр Андрейчиков
262,Ольга Андрейчикова
263, ИД «Бурда»
264, ИД «Бурда»
265,Дэвид Кушнер
266,Нина Дмитриева
267,Леса Снайдер
268,Виталий Леонтьев
269,Вячеслав Кошелев
271, ИД «Бурда»
272, ИД «Бурда»
273, Открытые системы
274, Мир ПК
275, Открытые системы
276, Журнал Publish
278,Александр Каплун
278,Евгений Морозов
278,Маргарита Олферьева
279,Пол Батчер
280,Аарон Уолтер
280,Элиот Стокс
280,Пол Боуг
280,Рэйчел Эндрю
280,Бен Шварц
280,Дэвид Стори
280,Ли Веру
280,Кристиан Хейлманн
280,Дмитрий Фадеев
280,Марк Джозеф Эдвардс
280,Арэл Балкан
280,Стивен Хей
280,Энди Кларк
282,Елена Хрусталева
283,Георгий Рапопорт
283,Андрей Герц
284,Игорь Муштоватый
284,Е. Балабайченко
284,Г. Лебедева
285,Алексей Лебедев
286,Эндрю Стиллмен
286,Дженнифер Грин
287,Эрик Фримен
287,Элизабет Робсон
288,Василий Леонов
290,Reza Alirezaei
290,Brendon Schwartz
290,Matt Ranlett
290,Скотт Хиллайер
290,Brian Wilson
290,Jeff Fried
290,Paul J. Swider
291,Гаутам Верма
291,Мэтт Вебер
292,Лайза Сабин-Вильсон
293,Мэтт Вайсфельд
294,Дэн Пайлон
294,Трейси Пайлон
295,Ирина Спира
296,Дмитрий Миронов
297,Каллум Хопкинс
298,Патрик Нимейер
298,Дэниэл Леук
299,Марина Виннер
299,Ренат Янбеков
300, Коллектив авторов
301,Кирилл Шагаков
302,Вячеслав Шершаков
302,Эдуард Трахтенгерц
302,Дмитрий Камаев
303,Владимир Бубнов
304,Кристофер Нигас
304,Eric Foster-Johnson
305,Людмила Сиденко
306,Джером Ф. Димарцио
307,Виктор Запаренко
308,Дмитрий Виницкий
309,Александр Гришин
310,Александр Гришин
311,Александр Гришин
312,Алексей Гладкий
313,Каллум Хопкинс
314,Патрик Нимейер
314,Дэниэл Леук
315,Дмитрий Миронов
316,Алексей Васильев
317,Дмитрий Миронов
318,Владимир Прохоренков
319, Мир ПК
320, Открытые системы
321, Открытые системы
322,Вячеслав Кошелев
323,М. Соколянская
323,Анна Трубникова
324,Вольфганг Гилой
325,Эстель Вейл
326,Виктор Корсаков
327,Николай Полещук
328,Давид Юдин
329,Дебу Панда
329,Реза Рахман
329,Райан Купрак
329,Майкл Ремижан
330,Скотт Онстотт
331,Эрик Чэпел
332,Александр Харуто
333,Дэвид Д. Буш
334, Мир ПК
335, Журнал Publish
336,Рафаэлло Чекко
337,Пол Дейтел
337,Харви Дейтел
338, Открытые системы
339,Марина Виннер
339,Ренат Янбеков
340,Джеффри Д. Ульман
341, Открытые системы
342,Уильям Р. Станек
343,Сергей Тарасов
344,Джеймс Вандезанд
344,Фил Рид
344,Эдди Кригел
345,Анатолий Севашко
346,Крейг Уоллс
347,Рэндал У. Биард
347,Тимоти У. МакЛэйн
348,Сергей Тарасов
349,Эрик Келлер
350,Ирина Спира
351,Александр Макаров
352,Александр Фрунзе
353,Владимир Вишневский
353,О. Семенова
354,Мария Филимончук
355,Сергей Смирнов
356,Виктор Большаков
356,Андрей Бочков
356,Ю. Лячек
357,А. Орлов
358,Евгения Тучкевич
359,Стив Макконнелл
360,Александр Левин
361,Питер Сайбель
362,Михаил Райтман
363,Ангелина Яковлева
364,Ренат Абуталипов
364,Александр Остапчук
365,Александр Таганов
366,Джесс Чедвик
366,Хришикеш Панда
366,Тодд Снайдер
367,Юлия Сырых
368,Уэнделл Одом
369,Бьярне Страуструп
370,Джозеф Албахари
370,Бен Албахари
371,Дмитрий Виницкий
372,Кэтрин Айсманн
372,Шон Дугган
372,Тим Грей
373,Стивен Р. Кови
374,Александр Гришин
375, Открытые системы
376,Любовь Левина
377,Франческо Чезарини
377,Симон Томпсон
378,Ирина Баранова
379,Владимир Успенский
380, Открытые системы
381, Открытые системы
382, Открытые системы
383,Алексей Шестеркин
384,Грэди Буч
384,Джеймс Рамбо
384,Айвар Якобсон
385,Виталий Леонтьев
386,Георгий Рапопорт
386,Андрей Герц
387, ИД «Бурда»
388, ИД «Бурда»
389, ИД «Бурда»
390, ИД «Бурда»
391, ИД «Бурда»
392, ИД «Бурда»
393,Максим Кидрук
394,Б. Кучеров
395,А. Людомир
395,В. Орлов
396, Открытые системы
397,А. Голубев
397,М. Звягин
397,Л. Семин
398,М. Марценюк
398,В. Поляков
398,И. Селетков
399,Mark Trostler
400,Уильям Р. Станек
401,Александр Кенин
402, ИД «Бурда»
403,Дэниел Киз
404, Мир ПК
405, Журнал Publish
406, ИД «Бурда»
407,Э. Семенюк
408,Сергей Гашков
409,Джозеф Джарратано
409,Гари Райли
410,Евгения Пастернак
411,Стивен Прата
412,Николай Смоленцев
413,Ребекка Триз
413,Маргарет Стефенс
413, Автор не указан
414,М. Юдин
414,А. Куприянова
414,Р. Прокди
415,Василий Леонов
416,Мигран Семерджян
416,Жанетта Налбандян
416,Левон Гаспарян
417,Мэтт Ричардсон
418,Виктор Афанасьев
419,Мария Скулович
420,Ирина Спира
421,Виктор Гольцман
422,Надежда Баловсяк
423,Виолетта Филатова
424,Андрей Жвалевский
424,Геннадий Кондратьев
425,Игорь Черноруцкий
426,Денис Колисниченко
427,Марина Дремова
427,Владимир Михайлов
428,Уильям Р. Станек
429,Мария Рыжкова
430,Евгения Пастернак
431,Роберт Лав
432,Андрей Орлов
433,Денис Колисниченко
434,Мария Козулина
435,Аркадий Стругацкий
435,Борис Стругацкий
436,Евгения Тучкевич
437,Нина Комолова
437,Елена Яковлева
438,Сиддхартха Рао
439,Лариса Цой
440,Дэйв Марк
440,Джек Наттинг
440,Джефф Ламарш
440,Фредрик Т. Олссон
441,Стивен Прата
442,О. Крохина
442,М. Полосина
442,М. Ханина
442,А. Рубель
443,Илья Балакаев
443,Алексей Ганков
443,Максим Гладиков
443,Александр Зенин
443,Александр Косулин
443,Наталья Кривуля
443,Борис Машковцев
443,Юлия Орлова
443,Надежда Рябцева
443,Павел Шведов
444, ИД «Бурда»
445,Ярослав Хетагуров
446,А. Бушуев
446,Р. Прокди
447,Дмитрий Осипов
448,Денис Колисниченко
449,Гэри Дэвид Боутон
450, ИД «Бурда»
451, Открытые системы
452, Открытые системы
453,Владимир Вьюгин
454,П. Олейник
454,Ю. Кураков
455,И. Шилин
455,А. Александров
456,Мэтью Макдональд
457,Мэтью Макдональд
458,Улли Соммер
459,Николай Красильников
460,Александр Никитин
460,Дмитрий Ляпин
461,Глеб Сенкевич
462,Нэнси Мюир
463,Барри Берд
465,Ольга Узорова
465,Елена Нефедова
466,Гай Харт-Дэвис
468,Анастасия Красичкова
469,Герберт Шилдт
470,Джеймс Гослинг
470,Билл Джой
470,Гай Л. Стил
